,YRN-16 01,YRN-16 02,YRN-16 03,YRN-16 04,YRN-16 05,T(YRN) YRN-16-1908 1,T(YRN) YRN-16-1908 2,T(YRN) YRN-16-1908 3,T(YRN) YRN-16-1908 4,T(YRN) YRN-16-1908 5
7.468519323,17.12600485,-0.290426779,6.036601866,34.56575212,2.426301457,4.818778661,20.58520555,-2.49954543,23.09466015,29.45004425
7.555362571,17.73763014,-0.201813287,6.069545161,35.29323795,2.488885448,5.519147118,21.1090133,-2.439542487,23.46368804,30.16335594
7.642205818,18.34925542,-0.113199794,6.102488455,36.02072378,2.551469438,6.219515574,21.63282105,-2.379539543,23.83271593,30.87666764
7.729049066,18.9608807,-0.024586302,6.13543175,36.38391679,2.614053429,6.919884031,22.15662881,-2.3195366,24.20174382,31.58997933
7.815892314,19.57250598,0.06402719,6.168375045,36.70723775,2.676637419,7.620252488,22.68043656,-2.259533656,24.57077171,32.30329102
7.902735562,20.18413126,0.855409846,6.291968818,37.03055871,2.73922141,8.320620945,23.20424431,-2.199530713,24.9397996,32.36820611
7.98957881,20.79575654,1.650990645,7.112730184,37.35387967,2.801805401,9.020989402,23.72805207,-2.139527769,25.30882749,32.37762404
8.076422058,21.40738182,2.446571444,7.93349155,37.67720063,2.864389391,9.721357859,24.25185982,-2.079524826,25.67785538,32.38704196
8.163265306,22.0190071,3.242152243,8.754252917,38.00052159,2.926973382,10.42172632,24.77566757,-2.019521882,26.04688327,32.39645988
8.250108554,22.63063239,4.037733042,9.575014283,38.32384255,2.989557372,11.12209477,25.29947532,-1.959518939,26.41591116,32.4058778
8.336951802,23.24225767,4.83331384,10.39577565,38.6471635,3.093994137,11.82246323,25.82328308,-1.899515995,26.78493905,32.41529572
8.42379505,23.85388295,5.628894639,11.21653702,38.97048446,3.875762523,12.90868287,26.34709083,-1.839513052,27.15396694,32.42471364
8.510638298,24.46550823,6.424475438,12.03729838,39.29380542,4.657530909,17.18064821,26.87089858,-1.779510108,27.52299483,32.43413156
8.597481546,25.07713351,7.220056237,12.85805975,39.61712638,5.439299296,20.96515548,27.39470633,-1.719507165,27.89202273,32.44354948
8.684324794,25.68875879,8.015637036,13.67882111,39.94044734,6.221067682,21.49302804,27.91851409,-1.659504221,28.26105062,32.4529674
8.771168042,26.30038407,8.811217835,14.49958248,40.2637683,7.002836068,22.02090061,28.44232184,-1.599501278,28.63007851,32.46238533
8.85801129,26.91200935,9.606798634,15.32034385,40.58708926,7.784604455,22.54877317,28.96612959,-1.539498334,28.9991064,32.47180325
8.944854538,27.52363464,10.40237943,16.14110521,40.91041022,8.566372841,23.07664573,29.48993735,-1.446776518,29.36813429,32.48122117
9.031697785,28.13525992,11.19796023,16.96186658,41.23373118,9.348141227,23.6045183,30.0137451,-0.731357425,29.73716218,32.5071844
9.118541033,28.7468852,11.99354103,17.78262795,41.55705214,10.12990961,24.13239086,30.53755285,-0.015938332,30.10619007,32.79316109
9.205384281,29.35851048,12.78912183,18.60338931,41.8803731,10.911678,24.66026342,31.0613606,0.699480762,30.47521796,33.07913778
9.292227529,29.97013576,13.58470263,19.42415068,42.20369406,11.69344639,25.18813599,31.58516836,1.414899855,30.84424585,33.36511447
9.379070777,30.58176104,14.38028343,20.24491204,42.52701502,12.47521477,25.71600855,32.10897611,2.130318948,31.21327374,33.65109116
9.465914025,31.19338632,15.17586423,21.06567341,42.85033598,13.25698316,26.24388112,32.63278386,2.845738041,31.58230163,33.93706784
9.552757273,31.8050116,15.97144502,21.88643478,43.17365694,14.03875155,26.77175368,33.15659161,3.561157134,31.95132952,34.22304453
9.639600521,32.41663689,16.76702582,22.70719614,43.4969779,14.82051993,27.29962624,33.68039937,4.276576227,32.32035742,34.50902122
9.726443769,33.02826217,17.56260662,23.52795751,43.82029886,15.60228832,27.82749881,34.20420712,4.99199532,32.68938531,34.79499791
9.813287017,33.63988745,18.35818742,24.34871888,44.14361981,16.3840567,28.35537137,34.72801487,5.707414413,33.0584132,35.0809746
9.900130265,34.25151273,19.15376822,24.97647002,44.46694077,17.16582509,28.88324394,35.25182263,6.422833507,33.42744109,35.36695128
9.986973513,34.86313801,19.94934902,25.29965458,44.79026173,17.94759348,29.4111165,35.77563038,7.1382526,33.79646898,35.65292797
10.07381676,35.47476329,20.74492982,25.62283913,45.11358269,18.72936186,29.93898906,36.29943813,7.853671693,34.16549687,35.93890466
10.16066001,36.00674424,21.54051062,25.94602369,45.43690365,19.51113025,30.46686163,36.76913309,8.569090786,34.53452476,36.22488135
10.24750326,36.3366026,22.33609142,26.26920824,45.76022461,20.29289864,30.99473419,37.06330252,9.284509879,34.90355265,36.51085804
10.3343465,36.66646095,23.13167221,26.5923928,46.08354557,21.07466702,31.52260676,37.35747195,9.999928972,35.27258054,36.79683472
10.42118975,36.99631931,23.92725301,26.91557735,46.40686653,21.85643541,32.05047932,37.65164139,10.71534807,35.64160843,37.18303136
10.508033,37.32617766,24.72283381,27.23876191,46.73018749,22.6382038,32.57835188,37.94581082,11.43076716,36.01063632,37.92809181
10.59487625,37.65603602,25.51841461,27.56194646,47.05350845,23.41997218,33.10622445,38.23998025,12.14618625,36.37966421,38.67315225
10.6817195,37.98589438,26.31399541,27.88513102,47.37682941,24.20174057,33.63409701,38.53414968,12.86160534,36.7486921,39.4182127
10.76856274,38.31575273,27.10957621,28.20831557,47.70015037,24.98350895,34.16196958,38.82831911,13.57702444,37.11772,40.16327315
10.85540599,38.64561109,27.90515701,28.53150013,48.02347133,25.76527734,34.68984214,39.12248854,14.29244353,37.47583467,40.90833359
10.94224924,38.97546944,28.70073781,28.85468468,48.34679229,26.54704573,35.2177147,39.41665797,15.00786262,37.81522085,41.46879884
11.02909249,39.3053278,29.49631861,29.17786924,48.67011325,27.32881411,35.74558727,39.71082741,15.72328172,38.15460704,41.54921122
11.11593574,39.63518616,30.2918994,29.50105379,48.99343421,28.1105825,36.1134466,40.00499684,16.43870081,38.49399322,41.62962361
11.20277898,39.96504451,31.0874802,29.82423835,49.31675517,28.69622346,36.28693402,40.29916627,17.1541199,38.8333794,41.71003599
11.28962223,40.29490287,31.883061,30.1474229,49.64007612,29.00071065,36.46042145,40.5933357,17.869539,39.17276559,41.79044838
11.37646548,40.62476122,32.45777636,30.47060746,49.96339708,29.30519784,36.63390887,40.88750513,18.58495809,39.51215177,41.87086076
